Nome;Imagem;Caminho Padrão;Categoria;nome;tipo;@Imagem
Porca Castelo com Coroa Baixa;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_castelo_com_coroa_baixa;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_castelo_com_coroa_baixa.png
Porca Sextavada de Solda;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_de_solda;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_de_solda.png
Porca Quadrada de Solda;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_quadrada_de_solda;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_quadrada_de_solda.png
Porca Calota Forma Baixa;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_calota_forma_baixa;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_calota_forma_baixa.png
Porca Calota;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_calota;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_calota.png
Porca Fendada;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_fendada;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_fendada.png
Porca Sextavada de Roda;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_de_roda;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_de_roda.png
Porca Garra;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_garra;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_garra.png
Porca Pall Nut de Segurança;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_pall_nut_de_seguranca;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_pall_nut_de_seguranca.png
Prolongador;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;prolongador;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\prolongador.png
